Timestamp,recommended HH charge cell,TPH optimum,soft recommended HH charge cell
2021-09-15 08:42:00,935,4497.1855,935.0
2021-09-15 08:43:00,935,4499.109,935.0
2021-09-15 08:44:00,935,4498.669,935.0
2021-09-15 08:45:00,935,4498.669,935.0
2021-09-15 08:46:00,935,4498.669,935.0
2021-09-15 08:47:00,935,4498.669,935.0
2021-09-15 08:48:00,935,4499.109,935.0
2021-09-15 08:49:00,935,4498.669,935.0
2021-09-15 08:50:00,935,4498.1753,935.0
2021-09-15 08:51:00,935,4498.615,935.0
2021-09-15 08:52:00,935,4498.615,935.0
2021-09-15 08:53:00,935,4498.1753,935.0
2021-09-15 08:54:00,935,4498.1753,935.0
2021-09-15 08:55:00,935,4498.1753,935.0
2021-09-15 08:56:00,935,4498.1753,935.0
2021-09-15 08:57:00,935,4498.1753,935.0
2021-09-15 08:58:00,935,4498.1753,935.0
2021-09-15 08:59:00,935,4498.615,935.0
2021-09-15 09:00:00,935,4496.5737,935.0
2021-09-15 09:01:00,935,4498.6914,935.0
2021-09-15 09:02:00,935,4497.667,935.0
2021-09-15 09:03:00,935,4497.667,935.0
2021-09-15 09:04:00,935,4497.667,935.0
2021-09-15 09:05:00,935,4499.694,935.0
2021-09-15 09:06:00,935,4499.9907,935.0
2021-09-15 09:07:00,935,4499.9907,935.0
2021-09-15 09:08:00,935,4499.9907,935.0
2021-09-15 09:09:00,935,4500.4307,935.0
2021-09-15 09:10:00,935,4500.4307,935.0
2021-09-15 09:11:00,935,4499.9907,935.0
2021-09-15 09:12:00,935,4500.4307,935.0
2021-09-15 09:13:00,910,4490.119,932.5
2021-09-15 09:14:00,910,4490.119,930.0
2021-09-15 09:15:00,935,4500.4307,930.0
2021-09-15 09:16:00,935,4499.9907,930.0
2021-09-15 09:17:00,935,4500.4307,930.0
2021-09-15 09:18:00,910,4490.119,927.5
2021-09-15 09:19:00,935,4500.4307,927.5
2021-09-15 09:20:00,935,4499.9907,927.5
2021-09-15 09:21:00,935,4499.9907,927.5
2021-09-15 09:22:00,935,4499.9907,927.5
2021-09-15 09:23:00,935,4497.723,930.0
